Name,Market Cap,Alpha,Beta,5Y CAGR,D/E,EPS (Q),SCORE,Capability,b,c,d,e,f,g
MSUMI,"22,715.65",-1.52,-,-,0.15,0.32,17,R,2,2,1,5,5,2
BANDHANBNK,"22,600.32",-31.63,1.73,-20.87,0,2.65,14,HR,2,1,2,1,5,3
POLYMED,"22,518.63",38.27,0.46,49.28,0.12,8.48,27,S,2,5,5,5,5,5
TATACHEM,"22,119.21",-5.01,1.39,2.68,0.24,-2.08,13,HR,2,1,3,1,5,1
CONCORDBIO,"22,091.80",-,-,-,0.01,9.15,23,M,2,5,1,5,5,5
CROMPTON,"22,032.31",-5.65,0.67,4.24,0.2,1.71,16,HR,2,1,4,1,5,3
LALPATHLAB,"21,866.86",-4.28,0.78,9.96,0.13,11.6,19,R,2,1,4,2,5,5
AFFLE,"21,846.94",2.06,1.68,31.35,0.07,7.15,22,M,2,3,2,5,5,5
HINDCOPPER,"21,844.11",16.15,2.08,40.44,0.1,0.65,20,R,2,5,1,5,5,2
MANYAVAR,"21,705.11",-3.37,-,-,0.28,2.75,17,R,2,1,1,5,5,3
HSCL,"21,680.01",65.79,1.65,49.53,0.2,2.88,22,M,2,5,2,5,5,3
PEL,"21,658.76",-15.56,1.38,-8.84,2.02,1.71,12,HR,2,1,3,1,2,3
ASTERDM,"21,454.29",36.7,1.27,19.78,0.28,1.14,22,M,2,5,3,4,5,3
CHAMBLFERT,"21,444.91",5.8,1.42,27.31,0.24,13.34,25,M,2,5,3,5,5,5
FIVESTAR,"21,250.42",22.46,-,-,1.22,9.36,21,M,2,5,1,5,3,5
DELHIVERY,"20,977.25",-27.22,-,-,0.13,0.34,16,HR,2,1,1,5,5,2
EIHOTEL,"20,962.21",24.61,1.31,19.15,0.05,4.23,23,M,2,5,3,4,5,4
PNBHOUSING,"20,948.22",23.25,1.4,18.75,3.67,18.6,20,R,2,5,3,4,1,5
ANGELONE,"20,876.44",14.72,1.04,17.39,0.84,31.25,23,M,2,5,3,4,4,5
WELCORP,"20,803.99",51.58,1.39,30.62,0.34,25.73,25,M,2,5,3,5,5,5
AMBER,"20,780.15",24.5,0.18,30.78,0.73,10.61,26,S,2,5,5,5,4,5
PTCIL,"20,759.31",-,-,150.99,0.28,11.85,23,M,2,5,1,5,5,5
KEC,"20,663.78",17.82,1.02,17.67,0.97,4.87,22,M,2,5,3,4,4,4
SUNDRMFAST,"20,629.35",-0.11,1.22,15.51,0.19,6.21,21,M,2,2,3,4,5,5
ZFCVINDIA,"20,587.04",15.01,0.27,9.63,0,66.15,24,M,2,5,5,2,5,5
SHYAMMETL,"20,569.29",23.2,1.27,-,0.06,7.1,25,M,2,5,3,5,5,5
CASTROLIND,"20,457.03",16.87,1.22,5.7,0.04,2.74,20,R,2,5,3,2,5,3
ANANTRAJ,"20,431.39",69.07,1.17,78.31,0.17,3.23,24,M,2,5,3,5,5,4
NAVINFLUOR,"20,373.85",-1.75,0.84,29.02,0.57,16.86,22,M,2,2,4,5,4,5
RAMCOCEM,"20,363.68",-5.39,0.84,1.74,0.68,7.62,17,R,2,1,4,1,4,5
MRPL,"20,246.02",40.81,1.2,22.2,0.96,1.76,22,M,2,5,3,5,4,3
EMCURE,"20,164.07",-,-,-,0.75,8.12,22,M,2,5,1,5,4,5
TIMKEN,"20,006.68",8.07,0.9,21.19,0.01,9.88,26,S,2,5,4,5,5,5
NUVAMA,"19,747.32",-,-,-,2.33,70.41,20,R,2,5,1,5,2,5
BAYERCROP,"19,635.42",-4.49,0.71,0.08,0.02,7.61,18,R,2,1,4,1,5,5
ZENSARTECH,"19,631.82",24.82,1.35,41.63,0.05,7.04,25,M,2,5,3,5,5,5
